shipment_id,order_id,shipment_date,delivery_date,date_ingested
178,178,2021-05-07,2021-05-08,2023-06-04
179,179,,,2023-06-04
180,180,2021-08-22,2021-08-24,2023-06-04
181,181,,,2023-06-04
182,182,,,2023-06-04
183,183,2022-07-20,2022-07-22,2023-06-04
184,184,,,2023-06-04
185,185,2021-12-19,2021-12-21,2023-06-04
186,186,,,2023-06-04
187,187,2021-06-08,2021-06-09,2023-06-04
188,188,,,2023-06-04
189,189,,,2023-06-04
190,190,,,2023-06-04
191,191,,,2023-06-04
192,192,,,2023-06-04
193,193,,,2023-06-04
194,194,2022-02-27,2022-02-28,2023-06-04
195,195,,,2023-06-04
196,196,2022-07-06,2022-07-08,2023-06-04
197,197,,,2023-06-04
198,198,,,2023-06-04
199,199,,,2023-06-04
200,200,,,2023-06-04
201,201,2021-09-11,,2023-06-04
202,202,2021-06-28,2021-06-29,2023-06-04
203,203,,,2023-06-04
204,204,,,2023-06-04
205,205,,,2023-06-04
206,206,2021-12-23,,2023-06-04
207,207,,,2023-06-04
208,208,,,2023-06-04
209,209,,,2023-06-04
210,210,2021-10-15,,2023-06-04
211,211,,,2023-06-04
212,212,,,2023-06-04
213,213,,,2023-06-04
214,214,,,2023-06-04
215,215,,,2023-06-04
216,216,2022-07-02,2022-07-05,2023-06-04
217,217,,,2023-06-04
218,218,2021-05-30,,2023-06-04
219,219,,,2023-06-04
220,220,,,2023-06-04
221,221,,,2023-06-04
222,222,,,2023-06-04
223,223,,,2023-06-04
224,224,,,2023-06-04
225,225,,,2023-06-04
226,226,,,2023-06-04
227,227,2022-03-06,,2023-06-04
228,228,,,2023-06-04
229,229,2021-08-31,2021-09-02,2023-06-04
230,230,,,2023-06-04
231,231,,,2023-06-04
232,232,,,2023-06-04
233,233,2022-08-05,2022-08-06,2023-06-04
234,234,2022-08-25,2022-08-26,2023-06-04
235,235,,,2023-06-04
236,236,2021-09-18,,2023-06-04
237,237,,,2023-06-04
238,238,2021-01-23,,2023-06-04
239,239,,,2023-06-04
240,240,,,2023-06-04
241,241,2021-02-20,2021-02-23,2023-06-04
242,242,2021-03-08,2021-03-09,2023-06-04
243,243,2022-05-23,2022-05-25,2023-06-04
244,244,2021-06-03,2021-06-04,2023-06-04
245,245,,,2023-06-04
246,246,,,2023-06-04
247,247,,,2023-06-04
248,248,,,2023-06-04
249,249,,,2023-06-04
250,250,,,2023-06-04
251,251,,,2023-06-04
252,252,,,2023-06-04
253,253,,,2023-06-04
254,254,,,2023-06-04
255,255,2021-11-19,2021-11-22,2023-06-04
256,256,,,2023-06-04
257,257,,,2023-06-04
258,258,,,2023-06-04
259,259,,,2023-06-04
260,260,,,2023-06-04
261,261,,,2023-06-04
262,262,2021-04-06,,2023-06-04
263,263,2022-04-14,2022-04-17,2023-06-04
264,264,2022-08-07,2022-08-08,2023-06-04
265,265,,,2023-06-04
266,266,,,2023-06-04
267,267,,,2023-06-04
268,268,2022-09-04,2022-09-06,2023-06-04
269,269,,,2023-06-04
270,270,2021-11-09,2021-11-11,2023-06-04
271,271,,,2023-06-04
272,272,,,2023-06-04
273,273,,,2023-06-04
274,274,,,2023-06-04
275,275,,,2023-06-04
276,276,,,2023-06-04
277,277,,,2023-06-04
278,278,,,2023-06-04
279,279,,,2023-06-04
280,280,,,2023-06-04
281,281,,,2023-06-04
282,282,2021-06-05,,2023-06-04
283,283,2021-07-02,2021-07-03,2023-06-04
284,284,,,2023-06-04
285,285,,,2023-06-04
286,286,2021-11-26,2021-11-28,2023-06-04
287,287,,,2023-06-04
288,288,2022-06-07,2022-06-09,2023-06-04
289,289,,,2023-06-04
290,290,,,2023-06-04
291,291,,,2023-06-04
292,292,,,2023-06-04
293,293,,,2023-06-04
294,294,,,2023-06-04
295,295,,,2023-06-04
296,296,,,2023-06-04
297,297,2021-03-10,2021-03-13,2023-06-04
298,298,2021-10-20,2021-10-21,2023-06-04
299,299,2022-08-22,2022-08-23,2023-06-04
300,300,,,2023-06-04
301,301,2021-12-08,,2023-06-04
302,302,,,2023-06-04
303,303,,,2023-06-04
304,304,,,2023-06-04
305,305,,,2023-06-04
306,306,,,2023-06-04
307,307,2021-06-10,2021-06-11,2023-06-04
308,308,2022-03-28,,2023-06-04
309,309,,,2023-06-04
310,310,,,2023-06-04
311,311,2022-01-13,,2023-06-04
312,312,,,2023-06-04
313,313,2021-05-23,,2023-06-04
314,314,,,2023-06-04
315,315,,,2023-06-04
316,316,2021-06-01,2021-06-03,2023-06-04
317,317,,,2023-06-04
318,318,,,2023-06-04
319,319,2021-02-04,2021-02-06,2023-06-04
320,320,,,2023-06-04
321,321,,,2023-06-04
322,322,,,2023-06-04
323,323,,,2023-06-04
324,324,2021-02-22,,2023-06-04
325,325,2021-03-11,2021-03-14,2023-06-04
326,326,,,2023-06-04
327,327,,,2023-06-04
328,328,,,2023-06-04
329,329,,,2023-06-04
330,330,,,2023-06-04
331,331,2022-01-21,2022-01-23,2023-06-04
332,332,,,2023-06-04
333,333,,,2023-06-04
334,334,,,2023-06-04
335,335,,,2023-06-04
336,336,,,2023-06-04
337,337,,,2023-06-04
338,338,,,2023-06-04
339,339,,,2023-06-04
340,340,,,2023-06-04
341,341,,,2023-06-04
342,342,2021-03-27,,2023-06-04
343,343,2021-11-27,2021-11-30,2023-06-04
344,344,,,2023-06-04
345,345,2022-04-06,,2023-06-04
346,346,,,2023-06-04
347,347,,,2023-06-04
348,348,,,2023-06-04
349,349,,,2023-06-04
350,350,,,2023-06-04
351,351,2022-08-14,,2023-06-04
352,352,,,2023-06-04
353,353,,,2023-06-04
354,354,,,2023-06-04
355,355,,,2023-06-04
356,356,,,2023-06-04
357,357,,,2023-06-04
358,358,,,2023-06-04
359,359,,,2023-06-04
360,360,,,2023-06-04
361,361,2022-08-12,2022-08-14,2023-06-04
362,362,2021-03-14,2021-03-17,2023-06-04
363,363,2022-06-25,2022-06-28,2023-06-04
364,364,,,2023-06-04
365,365,,,2023-06-04
366,366,,,2023-06-04
367,367,,,2023-06-04
368,368,,,2023-06-04
369,369,,,2023-06-04
370,370,,,2023-06-04
371,371,2021-06-30,2021-07-01,2023-06-04
372,372,,,2023-06-04
373,373,2021-10-02,2021-10-05,2023-06-04
374,374,2021-02-05,2021-02-06,2023-06-04
375,375,2022-05-13,2022-05-15,2023-06-04
376,376,,,2023-06-04
377,377,,,2023-06-04
378,378,,,2023-06-04
379,379,,,2023-06-04
380,380,,,2023-06-04
381,381,,,2023-06-04
382,382,,,2023-06-04
383,383,2022-05-28,,2023-06-04
384,384,2021-01-27,2021-01-28,2023-06-04
385,385,2021-08-14,2021-08-16,2023-06-04
386,386,,,2023-06-04
387,387,2021-04-26,,2023-06-04
388,388,,,2023-06-04
389,389,,,2023-06-04
390,390,,,2023-06-04
391,391,,,2023-06-04
392,392,2022-07-31,,2023-06-04
393,393,2022-02-18,,2023-06-04
394,394,2021-12-11,,2023-06-04
395,395,2022-06-14,,2023-06-04
396,396,2022-02-12,2022-02-13,2023-06-04
397,397,2022-06-10,2022-06-12,2023-06-04
398,398,,,2023-06-04
399,399,,,2023-06-04
400,400,2022-09-07,2022-09-10,2023-06-04
401,401,,,2023-06-04
402,402,,,2023-06-04
403,403,2021-09-09,,2023-06-04
404,404,,,2023-06-04
405,405,2021-08-01,,2023-06-04
406,406,2021-03-07,2021-03-10,2023-06-04
407,407,,,2023-06-04
408,408,2021-06-28,2021-06-29,2023-06-04
409,409,,,2023-06-04
410,410,,,2023-06-04
411,411,,,2023-06-04
412,412,,,2023-06-04
413,413,,,2023-06-04
414,414,,,2023-06-04
415,415,,,2023-06-04
416,416,,,2023-06-04
417,417,,,2023-06-04
418,418,2021-09-10,,2023-06-04
419,419,,,2023-06-04
420,420,,,2023-06-04
421,421,2022-02-23,2022-02-26,2023-06-04
422,422,,,2023-06-04
423,423,2022-08-14,2022-08-17,2023-06-04
424,424,2021-07-03,2021-07-06,2023-06-04
425,425,,,2023-06-04
426,426,,,2023-06-04
427,427,,,2023-06-04
428,428,,,2023-06-04
429,429,,,2023-06-04
430,430,,,2023-06-04
431,431,,,2023-06-04
432,432,2021-07-11,,2023-06-04
433,433,,,2023-06-04
434,434,,,2023-06-04
435,435,,,2023-06-04
436,436,,,2023-06-04
437,437,,,2023-06-04
438,438,,,2023-06-04
439,439,,,2023-06-04
440,440,,,2023-06-04
441,441,2021-03-31,,2023-06-04
442,442,,,2023-06-04
443,443,,,2023-06-04
444,444,2021-12-05,2021-12-08,2023-06-04
445,445,,,2023-06-04
446,446,,,2023-06-04
447,447,,,2023-06-04
448,448,2022-02-13,,2023-06-04
449,449,,,2023-06-04
450,450,,,2023-06-04
451,451,2022-02-28,2022-03-01,2023-06-04
452,452,2022-01-22,,2023-06-04
453,453,2021-03-29,,2023-06-04
454,454,,,2023-06-04
455,455,2021-08-21,2021-08-22,2023-06-04
456,456,2022-04-24,,2023-06-04
457,457,,,2023-06-04
458,458,,,2023-06-04
459,459,,,2023-06-04
460,460,,,2023-06-04
461,461,,,2023-06-04
462,462,2022-07-11,,2023-06-04
463,463,2021-09-02,2021-09-05,2023-06-04
464,464,2021-11-28,2021-11-30,2023-06-04
465,465,,,2023-06-04
466,466,,,2023-06-04
467,467,,,2023-06-04
468,468,,,2023-06-04
469,469,,,2023-06-04
470,470,,,2023-06-04
471,471,,,2023-06-04
472,472,,,2023-06-04
473,473,,,2023-06-04
474,474,,,2023-06-04
475,475,,,2023-06-04
476,476,2021-08-13,2021-08-16,2023-06-04
477,477,,,2023-06-04
478,478,,,2023-06-04
479,479,,,2023-06-04
480,480,,,2023-06-04
481,481,,,2023-06-04
482,482,,,2023-06-04
483,483,,,2023-06-04
484,484,2021-09-30,2021-10-03,2023-06-04
485,485,,,2023-06-04
486,486,,,2023-06-04
487,487,,,2023-06-04
488,488,2022-04-19,2022-04-21,2023-06-04
489,489,2022-05-17,,2023-06-04
490,490,,,2023-06-04
491,491,,,2023-06-04
492,492,,,2023-06-04
493,493,2022-05-13,,2023-06-04
494,494,,,2023-06-04
495,495,,,2023-06-04
496,496,,,2023-06-04
497,497,,,2023-06-04
498,498,2022-02-12,2022-02-13,2023-06-04
499,499,,,2023-06-04
500,500,,,2023-06-04
501,501,2022-05-07,,2023-06-04
502,502,2022-06-02,2022-06-03,2023-06-04
503,503,,,2023-06-04
504,504,,,2023-06-04
505,505,2022-07-14,2022-07-15,2023-06-04
506,506,,,2023-06-04
507,507,,,2023-06-04
508,508,2022-02-08,2022-02-10,2023-06-04
509,509,,,2023-06-04
510,510,2021-08-28,2021-08-29,2023-06-04
511,511,,,2023-06-04
512,512,,,2023-06-04
513,513,,,2023-06-04
514,514,2021-11-01,,2023-06-04
515,515,,,2023-06-04
516,516,,,2023-06-04
517,517,,,2023-06-04
518,518,,,2023-06-04
519,519,,,2023-06-04
520,520,2021-12-30,,2023-06-04
521,521,,,2023-06-04
522,522,,,2023-06-04
523,523,,,2023-06-04
524,524,,,2023-06-04
525,525,,,2023-06-04
526,526,,,2023-06-04
527,527,,,2023-06-04
528,528,,,2023-06-04
529,529,,,2023-06-04
530,530,,,2023-06-04
531,531,,,2023-06-04
532,532,2022-01-25,2022-01-27,2023-06-04
533,533,2021-07-30,2021-08-02,2023-06-04
534,534,2021-02-03,2021-02-05,2023-06-04
535,535,,,2023-06-04
536,536,,,2023-06-04
537,537,2022-03-12,2022-03-15,2023-06-04
538,538,,,2023-06-04
539,539,,,2023-06-04
540,540,2021-04-04,,2023-06-04
541,541,2021-06-26,2021-06-27,2023-06-04
542,542,,,2023-06-04
543,543,2021-09-25,2021-09-28,2023-06-04
544,544,2022-08-21,2022-08-23,2023-06-04
545,545,,,2023-06-04
546,546,2021-12-22,2021-12-25,2023-06-04
547,547,,,2023-06-04
548,548,,,2023-06-04
549,549,,,2023-06-04
550,550,,,2023-06-04
551,551,,,2023-06-04
552,552,,,2023-06-04
553,553,2022-07-30,2022-08-02,2023-06-04
554,554,,,2023-06-04
555,555,,,2023-06-04
556,556,,,2023-06-04
557,557,,,2023-06-04
558,558,,,2023-06-04
559,559,,,2023-06-04
560,560,,,2023-06-04
561,561,,,2023-06-04
562,562,,,2023-06-04
563,563,,,2023-06-04
564,564,,,2023-06-04
565,565,2021-07-01,,2023-06-04
566,566,2021-07-16,2021-07-18,2023-06-04
567,567,2021-01-16,,2023-06-04
568,568,2022-06-06,2022-06-09,2023-06-04
569,569,,,2023-06-04
570,570,,,2023-06-04
571,571,2021-08-20,2021-08-22,2023-06-04
572,572,,,2023-06-04
573,573,2022-08-15,2022-08-16,2023-06-04
574,574,,,2023-06-04
575,575,,,2023-06-04
576,576,,,2023-06-04
577,577,,,2023-06-04
578,578,,,2023-06-04
579,579,2021-06-23,,2023-06-04
580,580,2022-08-11,,2023-06-04
581,581,,,2023-06-04
582,582,,,2023-06-04
583,583,,,2023-06-04
584,584,,,2023-06-04
585,585,,,2023-06-04
586,586,,,2023-06-04
587,587,,,2023-06-04
588,588,,,2023-06-04
589,589,,,2023-06-04
590,590,,,2023-06-04
591,591,2021-10-22,2021-10-23,2023-06-04
592,592,2022-05-18,,2023-06-04
593,593,,,2023-06-04
594,594,2022-03-31,2022-04-01,2023-06-04
595,595,2021-11-08,2021-11-09,2023-06-04
596,596,2021-09-19,,2023-06-04
597,597,2021-02-26,2021-02-27,2023-06-04
598,598,2022-03-19,,2023-06-04
599,599,2021-08-12,2021-08-14,2023-06-04
600,600,2022-06-22,2022-06-23,2023-06-04
601,601,2021-05-07,2021-05-08,2023-06-04
602,602,,,2023-06-04
603,603,2021-04-19,2021-04-20,2023-06-04
604,604,2021-05-21,2021-05-24,2023-06-04
605,605,2021-01-10,2021-01-12,2023-06-04
606,606,,,2023-06-04
607,607,,,2023-06-04
608,608,,,2023-06-04
609,609,2021-05-29,,2023-06-04
610,610,2022-07-27,2022-07-30,2023-06-04
611,611,,,2023-06-04
612,612,2021-07-14,,2023-06-04
613,613,,,2023-06-04
614,614,,,2023-06-04
615,615,,,2023-06-04
616,616,,,2023-06-04
617,617,2022-08-28,2022-08-31,2023-06-04
618,618,2021-03-05,2021-03-07,2023-06-04
619,619,,,2023-06-04
620,620,,,2023-06-04
621,621,,,2023-06-04
622,622,,,2023-06-04
623,623,,,2023-06-04
624,624,,,2023-06-04
625,625,,,2023-06-04
626,626,2022-05-25,2022-05-28,2023-06-04
627,627,,,2023-06-04
628,628,2021-05-05,,2023-06-04
629,629,,,2023-06-04
630,630,,,2023-06-04
631,631,,,2023-06-04
632,632,,,2023-06-04
633,633,,,2023-06-04
634,634,,,2023-06-04
635,635,,,2023-06-04
636,636,,,2023-06-04
637,637,,,2023-06-04
638,638,2021-02-18,2021-02-19,2023-06-04
639,639,,,2023-06-04
640,640,,,2023-06-04
641,641,,,2023-06-04
642,642,2022-07-19,,2023-06-04
643,643,,,2023-06-04
644,644,,,2023-06-04
645,645,,,2023-06-04
646,646,,,2023-06-04
647,647,,,2023-06-04
648,648,,,2023-06-04
649,649,,,2023-06-04
650,650,,,2023-06-04
651,651,,,2023-06-04
652,652,2021-05-26,2021-05-28,2023-06-04
653,653,2021-06-21,2021-06-24,2023-06-04
654,654,,,2023-06-04
655,655,,,2023-06-04
656,656,,,2023-06-04
657,657,,,2023-06-04
658,658,,,2023-06-04
659,659,,,2023-06-04
660,660,2021-04-21,2021-04-24,2023-06-04
661,661,,,2023-06-04
662,662,,,2023-06-04
663,663,,,2023-06-04
664,664,,,2023-06-04
665,665,2022-03-22,2022-03-25,2023-06-04
666,666,,,2023-06-04
667,667,2021-10-20,2021-10-23,2023-06-04
668,668,2021-11-05,2021-11-08,2023-06-04
669,669,,,2023-06-04
670,670,,,2023-06-04
671,671,,,2023-06-04
672,672,,,2023-06-04
673,673,,,2023-06-04
674,674,,,2023-06-04
675,675,2021-06-15,2021-06-16,2023-06-04
676,676,2022-07-07,,2023-06-04
677,677,,,2023-06-04
678,678,,,2023-06-04
679,679,,,2023-06-04
680,680,,,2023-06-04
681,681,,,2023-06-04
682,682,2022-05-06,2022-05-08,2023-06-04
683,683,,,2023-06-04
684,684,,,2023-06-04
685,685,,,2023-06-04
686,686,,,2023-06-04
687,687,,,2023-06-04
688,688,2021-07-02,2021-07-05,2023-06-04
689,689,2021-08-19,2021-08-21,2023-06-04
690,690,2021-11-01,2021-11-03,2023-06-04
691,691,,,2023-06-04
692,692,,,2023-06-04
693,693,,,2023-06-04
694,694,2021-06-25,2021-06-28,2023-06-04
695,695,2022-04-08,,2023-06-04
696,696,,,2023-06-04
697,697,,,2023-06-04
698,698,,,2023-06-04
699,699,,,2023-06-04
700,700,,,2023-06-04
701,701,,,2023-06-04
702,702,,,2023-06-04
703,703,,,2023-06-04
704,704,,,2023-06-04
705,705,,,2023-06-04
706,706,,,2023-06-04
707,707,,,2023-06-04
708,708,2021-01-08,2021-01-11,2023-06-04
709,709,,,2023-06-04
710,710,,,2023-06-04
711,711,,,2023-06-04
712,712,,,2023-06-04
713,713,2022-04-06,,2023-06-04
714,714,,,2023-06-04
715,715,,,2023-06-04
716,716,,,2023-06-04
717,717,2022-07-09,2022-07-10,2023-06-04
718,718,,,2023-06-04
719,719,,,2023-06-04
720,720,,,2023-06-04
721,721,2021-07-19,,2023-06-04
722,722,2021-07-29,2021-07-30,2023-06-04
723,723,2021-03-12,2021-03-15,2023-06-04
724,724,2021-12-06,2021-12-08,2023-06-04
725,725,,,2023-06-04
726,726,,,2023-06-04
727,727,,,2023-06-04
728,728,,,2023-06-04
729,729,,,2023-06-04
730,730,,,2023-06-04
731,731,,,2023-06-04
732,732,,,2023-06-04
733,733,,,2023-06-04
734,734,,,2023-06-04
735,735,2021-07-15,,2023-06-04
736,736,2022-06-16,,2023-06-04
737,737,,,2023-06-04
738,738,2022-08-09,2022-08-11,2023-06-04
739,739,2021-09-14,2021-09-17,2023-06-04
740,740,,,2023-06-04
741,741,,,2023-06-04
742,742,,,2023-06-04
743,743,2021-12-23,,2023-06-04
744,744,,,2023-06-04
745,745,,,2023-06-04
746,746,,,2023-06-04
747,747,2022-05-02,,2023-06-04
748,748,,,2023-06-04
749,749,,,2023-06-04
750,750,2021-08-18,2021-08-19,2023-06-04
751,751,2022-08-28,2022-08-30,2023-06-04
752,752,,,2023-06-04
753,753,,,2023-06-04
754,754,,,2023-06-04
755,755,,,2023-06-04
756,756,,,2023-06-04
757,757,,,2023-06-04
758,758,2022-08-27,,2023-06-04
759,759,,,2023-06-04
760,760,,,2023-06-04
761,761,2021-11-03,2021-11-05,2023-06-04
762,762,,,2023-06-04
763,763,,,2023-06-04
764,764,2021-12-09,,2023-06-04
765,765,2021-05-07,2021-05-08,2023-06-04
766,766,,,2023-06-04
767,767,,,2023-06-04
768,768,,,2023-06-04
769,769,2021-11-26,2021-11-27,2023-06-04
770,770,,,2023-06-04
771,771,,,2023-06-04
772,772,,,2023-06-04
773,773,,,2023-06-04
774,774,,,2023-06-04
775,775,2021-07-30,,2023-06-04
776,776,,,2023-06-04
777,777,,,2023-06-04
778,778,,,2023-06-04
779,779,,,2023-06-04
780,780,,,2023-06-04
781,781,,,2023-06-04
782,782,2021-06-20,2021-06-21,2023-06-04
783,783,,,2023-06-04
784,784,,,2023-06-04
785,785,,,2023-06-04
786,786,2021-01-24,2021-01-27,2023-06-04
787,787,2021-05-11,2021-05-12,2023-06-04
788,788,2021-08-05,2021-08-08,2023-06-04
789,789,2022-06-21,2022-06-22,2023-06-04
790,790,,,2023-06-04
791,791,,,2023-06-04
792,792,,,2023-06-04
793,793,,,2023-06-04
794,794,,,2023-06-04
795,795,2021-04-26,2021-04-28,2023-06-04
796,796,,,2023-06-04
797,797,,,2023-06-04
798,798,,,2023-06-04
799,799,,,2023-06-04
800,800,,,2023-06-04
801,801,,,2023-06-04
802,802,2022-01-22,2022-01-23,2023-06-04
803,803,,,2023-06-04
804,804,,,2023-06-04
805,805,,,2023-06-04
806,806,2022-03-30,2022-03-31,2023-06-04
807,807,,,2023-06-04
808,808,,,2023-06-04
809,809,,,2023-06-04
810,810,,,2023-06-04
811,811,2022-03-24,2022-03-26,2023-06-04
812,812,,,2023-06-04
813,813,,,2023-06-04
814,814,,,2023-06-04
815,815,,,2023-06-04
816,816,,,2023-06-04
817,817,2021-04-04,2021-04-05,2023-06-04
818,818,,,2023-06-04
819,819,,,2023-06-04
820,820,2022-06-08,2022-06-10,2023-06-04
821,821,2021-12-22,,2023-06-04
822,822,,,2023-06-04
823,823,2022-04-10,,2023-06-04
824,824,,,2023-06-04
825,825,2022-06-24,2022-06-27,2023-06-04
826,826,,,2023-06-04
827,827,,,2023-06-04
828,828,,,2023-06-04
829,829,,,2023-06-04
830,830,2022-06-05,2022-06-08,2023-06-04
831,831,,,2023-06-04
832,832,2022-08-20,2022-08-23,2023-06-04
833,833,2022-06-07,,2023-06-04
834,834,,,2023-06-04
835,835,2021-05-24,2021-05-26,2023-06-04
836,836,,,2023-06-04
837,837,,,2023-06-04
838,838,2021-12-24,2021-12-25,2023-06-04
839,839,,,2023-06-04
840,840,2022-08-02,2022-08-03,2023-06-04
841,841,,,2023-06-04
842,842,,,2023-06-04
843,843,2021-07-28,,2023-06-04
844,844,,,2023-06-04
845,845,,,2023-06-04
846,846,,,2023-06-04
847,847,2021-10-25,,2023-06-04
848,848,,,2023-06-04
849,849,2021-08-02,2021-08-05,2023-06-04
850,850,2022-09-01,2022-09-03,2023-06-04
851,851,2021-11-01,2021-11-04,2023-06-04
852,852,,,2023-06-04
853,853,2022-03-19,2022-03-22,2023-06-04
854,854,,,2023-06-04
855,855,2021-06-09,2021-06-12,2023-06-04
